date,open,high,low,close,volume,number of trades,EOS EOS,sentiment
2018-04-18 03:00:00,0.00108350,0.00108520,0.00108130,0.00108400,50242.09000000,851,74.0,0.0
2018-04-18 04:00:00,0.00108400,0.00108780,0.00108000,0.00108260,46664.33000000,1396,78.0,0.0
2018-04-18 05:00:00,0.00108160,0.00108250,0.00107360,0.00107590,77099.79000000,1742,75.0,0.0
2018-04-18 06:00:00,0.00107590,0.00108010,0.00106900,0.00107520,93373.45000000,2991,80.0,-0.1
2018-04-18 07:00:00,0.00107560,0.00108290,0.00107100,0.00107740,128128.89000000,2956,83.0,0.1340909090909091
2018-04-18 08:00:00,0.00107740,0.00107790,0.00107000,0.00107170,83461.95000000,1613,84.0,0.13541666666666666
2018-04-18 09:00:00,0.00107170,0.00108620,0.00107140,0.00107570,140829.89000000,3025,81.0,0.03409090909090909
2018-04-18 10:00:00,0.00107570,0.00109000,0.00107400,0.00108540,104989.86000000,2045,80.0,0.0
2018-04-18 11:00:00,0.00108540,0.00111970,0.00108250,0.00109700,562729.38000000,13156,74.0,0.0
2018-04-18 12:00:00,0.00109780,0.00110560,0.00108610,0.00109340,106240.99000000,2388,75.0,0.0
2018-04-18 13:00:00,0.00109280,0.00109700,0.00108820,0.00109000,77131.29000000,2416,75.0,0.3333333333333333
2018-04-18 14:00:00,0.00109000,0.00109590,0.00108560,0.00108880,109115.16000000,1913,73.0,0.0
2018-04-18 15:00:00,0.00108860,0.00110700,0.00108700,0.00109560,457025.16000000,5426,73.0,0.10654761904761903
2018-04-18 16:00:00,0.00109560,0.00109730,0.00108450,0.00108600,230909.61000000,3191,73.0,0.0
2018-04-18 17:00:00,0.00108680,0.00108920,0.00107780,0.00107940,96370.00000000,3412,67.0,0.24821428571428572
2018-04-18 18:00:00,0.00107940,0.00109640,0.00107680,0.00107940,108285.11000000,3194,71.0,-0.040740740740740744
2018-04-18 19:00:00,0.00108040,0.00109500,0.00107860,0.00108280,119017.02000000,2558,71.0,0.0
2018-04-18 20:00:00,0.00108100,0.00108630,0.00107270,0.00107910,176807.82000000,4301,74.0,0.0
2018-04-18 21:00:00,0.00107800,0.00109340,0.00107800,0.00109220,114771.41000000,2854,71.0,0.041233766233766234
2018-04-18 22:00:00,0.00109220,0.00113020,0.00109220,0.00111820,461359.59000000,11556,68.0,0.0
2018-04-18 23:00:00,0.00111820,0.00112460,0.00109820,0.00110840,253069.34000000,4514,68.0,0.0925
2018-04-19 00:00:00,0.00110630,0.00111380,0.00109440,0.00110710,169549.89000000,4390,68.0,-0.014898989898989906
2018-04-19 01:00:00,0.00110710,0.00111520,0.00110200,0.00111010,192222.81000000,2654,65.0,-0.03333333333333333
2018-04-19 02:00:00,0.00111000,0.00111670,0.00110610,0.00111340,222424.20000000,2602,73.0,0.0
2018-04-19 03:00:00,0.00111420,0.00111670,0.00111000,0.00111400,167814.12000000,1765,75.0,0.0
2018-04-19 04:00:00,0.00111400,0.00111800,0.00110520,0.00110850,316924.86000000,2469,77.0,0.2111111111111111
2018-04-19 05:00:00,0.00110810,0.00110900,0.00109820,0.00110230,108977.91000000,2552,79.0,0.06666666666666668
2018-04-19 06:00:00,0.00110230,0.00111390,0.00110230,0.00110560,91076.21000000,1664,86.0,0.11166666666666666
2018-04-19 07:00:00,0.00110620,0.00111000,0.00109780,0.00109930,127149.89000000,2631,84.0,0.4
2018-04-19 08:00:00,0.00109930,0.00110030,0.00109200,0.00109300,110053.81000000,2751,82.0,0.24444444444444444
2018-04-19 09:00:00,0.00109300,0.00110100,0.00108900,0.00109700,108374.86000000,2497,82.0,0.02571548821548821
2018-04-19 10:00:00,0.00109770,0.00111330,0.00109300,0.00111010,164708.43000000,3192,78.0,0.0
2018-04-19 11:00:00,0.00111020,0.00111130,0.00110530,0.00110820,97070.74000000,1536,77.0,0.053703703703703705
2018-04-19 12:00:00,0.00110820,0.00111100,0.00110170,0.00110560,123255.19000000,2157,73.0,0.1863095238095238
2018-04-19 13:00:00,0.00110560,0.00113750,0.00110310,0.00113140,304745.60000000,7846,72.0,0.0
2018-04-19 14:00:00,0.00113010,0.00113680,0.00112100,0.00113090,417884.35000000,7357,71.0,-0.02
2018-04-19 15:00:00,0.00113130,0.00113580,0.00112200,0.00112400,400799.28000000,4246,71.0,0.0
2018-04-19 16:00:00,0.00112360,0.00113420,0.00112360,0.00112770,281495.94000000,2724,68.0,0.0
2018-04-19 17:00:00,0.00112800,0.00113750,0.00112560,0.00113640,364841.58000000,3296,70.0,0.0
2018-04-19 18:00:00,0.00113510,0.00113660,0.00112400,0.00112530,223910.28000000,4058,72.0,-0.075
2018-04-19 19:00:00,0.00112450,0.00112520,0.00111530,0.00112280,155017.07000000,5184,77.0,-0.2
2018-04-19 20:00:00,0.00112270,0.00113540,0.00112010,0.00113510,109717.45000000,2714,74.0,0.0
2018-04-19 21:00:00,0.00113490,0.00113650,0.00112710,0.00113210,171035.72000000,2109,73.0,0.007142857142857145
2018-04-19 22:00:00,0.00113130,0.00113470,0.00112660,0.00113270,228721.66000000,2005,72.0,0.0
2018-04-19 23:00:00,0.00113270,0.00114290,0.00112890,0.00114250,269796.97000000,2834,68.0,0.02395833333333334
2018-04-20 00:00:00,0.00114250,0.00118000,0.00114130,0.00117290,694962.33000000,14017,66.0,0.1425925925925926
2018-04-20 01:00:00,0.00117280,0.00119230,0.00116220,0.00118800,433373.40000000,5131,67.0,0.0
2018-04-20 02:00:00,0.00118810,0.00119590,0.00116930,0.00117740,590147.63000000,5908,73.0,0.1385858585858586
2018-04-20 03:00:00,0.00117740,0.00118120,0.00116320,0.00116870,346541.64000000,3275,75.0,0.14781746031746032
2018-04-20 04:00:00,0.00116900,0.00117800,0.00115160,0.00116160,740040.30000000,7529,76.0,0.0
2018-04-20 05:00:00,0.00116180,0.00118220,0.00115700,0.00117060,347110.53000000,3407,78.0,0.0
2018-04-20 06:00:00,0.00117210,0.00118690,0.00117090,0.00118000,233496.88000000,2163,86.0,0.46875
2018-04-20 07:00:00,0.00118110,0.00119400,0.00116500,0.00118730,543169.41000000,8700,89.0,0.0
2018-04-20 08:00:00,0.00118800,0.00118870,0.00117220,0.00117640,128231.08000000,2413,85.0,0.0
2018-04-20 09:00:00,0.00117500,0.00118320,0.00117260,0.00117930,65854.16000000,1645,82.0,0.0
2018-04-20 10:00:00,0.00117940,0.00118530,0.00117000,0.00118390,110235.20000000,2707,76.0,0.0
2018-04-20 11:00:00,0.00118320,0.00120670,0.00118250,0.00120620,280220.68000000,6371,77.0,0.0
2018-04-20 12:00:00,0.00120670,0.00124940,0.00119880,0.00124010,682671.15000000,13432,80.0,-0.034999999999999996
2018-04-20 13:00:00,0.00124040,0.00125000,0.00121800,0.00123860,240687.74000000,4838,78.0,0.0
2018-04-20 14:00:00,0.00123860,0.00124690,0.00122000,0.00123610,247406.79000000,4630,75.0,0.1722222222222222
2018-04-20 15:00:00,0.00123610,0.00124560,0.00123410,0.00124050,186234.93000000,3224,74.0,0.5
2018-04-20 16:00:00,0.00124180,0.00133470,0.00123310,0.00130600,1173263.82000000,19806,78.0,0.0
2018-04-20 17:00:00,0.00130600,0.00132470,0.00129050,0.00131450,659958.38000000,12621,77.0,0.4979166666666667
2018-04-20 18:00:00,0.00131590,0.00132000,0.00129860,0.00130920,380427.07000000,9541,75.0,0.0
2018-04-20 19:00:00,0.00130920,0.00135000,0.00130530,0.00133350,512769.22000000,9383,75.0,0.13636363636363635
2018-04-20 20:00:00,0.00133330,0.00133780,0.00126500,0.00129960,656143.84000000,15025,79.0,0.0
2018-04-20 21:00:00,0.00129960,0.00132600,0.00129620,0.00130450,268890.04000000,6351,89.0,0.027392578124999997
2018-04-20 22:00:00,0.00130450,0.00131500,0.00125220,0.00127590,413360.06000000,10360,74.0,0.0
2018-04-20 23:00:00,0.00127450,0.00132650,0.00127440,0.00129350,506571.05000000,10077,73.0,0.0
2018-04-21 00:00:00,0.00129550,0.00132010,0.00127010,0.00127560,415863.01000000,8782,71.0,0.0
2018-04-21 01:00:00,0.00127560,0.00127970,0.00122880,0.00125600,681673.19000000,14616,75.0,0.0
2018-04-21 02:00:00,0.00125600,0.00127070,0.00124410,0.00126760,260046.72000000,5570,74.0,0.08380681818181818
2018-04-21 03:00:00,0.00126760,0.00127160,0.00125840,0.00125850,145971.23000000,3724,78.0,0.0421875
2018-04-21 04:00:00,0.00125850,0.00126570,0.00124600,0.00124660,140540.92000000,3307,79.0,0.2125
2018-04-21 05:00:00,0.00124740,0.00125970,0.00123100,0.00125050,149952.94000000,3706,83.0,0.5
2018-04-21 06:00:00,0.00125050,0.00126850,0.00125050,0.00126330,109672.88000000,2415,86.0,-0.037500000000000006
2018-04-21 07:00:00,0.00126460,0.00126460,0.00123970,0.00124290,162660.67000000,3803,90.0,0.0
2018-04-21 08:00:00,0.00124290,0.00126500,0.00122710,0.00124670,280109.62000000,5579,90.0,0.0
2018-04-21 09:00:00,0.00124640,0.00124810,0.00121160,0.00122300,259782.17000000,5641,87.0,0.0
2018-04-21 10:00:00,0.00122290,0.00124540,0.00121520,0.00122100,220192.59000000,4329,85.0,0.19227272727272726
2018-04-21 11:00:00,0.00121990,0.00122100,0.00118400,0.00121620,454989.13000000,8903,79.0,0.07222222222222223
2018-04-21 12:00:00,0.00121790,0.00124000,0.00121310,0.00122530,180272.94000000,3859,80.0,0.0
2018-04-21 13:00:00,0.00122530,0.00122700,0.00120650,0.00122230,165083.12000000,3458,75.0,0.19375
2018-04-21 14:00:00,0.00122230,0.00124020,0.00121620,0.00123590,192340.56000000,4657,78.0,0.0
2018-04-21 15:00:00,0.00123560,0.00127540,0.00123000,0.00126360,524733.26000000,10463,80.0,0.12473214285714285
2018-04-21 16:00:00,0.00126340,0.00128080,0.00123770,0.00124890,265493.69000000,6747,78.0,0.2625
2018-04-21 17:00:00,0.00124840,0.00126070,0.00122220,0.00122980,171086.16000000,5454,73.0,0.0
2018-04-21 18:00:00,0.00122980,0.00123890,0.00121520,0.00122890,146313.37000000,3786,71.0,0.0
2018-04-21 19:00:00,0.00123070,0.00123810,0.00121750,0.00123170,70568.70000000,2217,76.0,0.125
2018-04-21 20:00:00,0.00123170,0.00123180,0.00121700,0.00122680,61931.88000000,1601,76.0,0.08363636363636363
2018-04-21 21:00:00,0.00122680,0.00123100,0.00121600,0.00122960,44819.34000000,1423,73.0,0.0
2018-04-21 22:00:00,0.00122960,0.00125090,0.00122540,0.00124150,104085.71000000,3981,75.0,-0.015625
2018-04-21 23:00:00,0.00124110,0.00125330,0.00123650,0.00124390,81763.72000000,2607,71.0,0.01428571428571429
2018-04-22 00:00:00,0.00124390,0.00124490,0.00121750,0.00122380,101568.76000000,2863,69.0,0.2823809523809524
2018-04-22 00:00:00,0.00124390,0.00124490,0.00121750,0.00122380,101568.76000000,2863,53.0,0.2823809523809524
2018-04-22 01:00:00,0.00122390,0.00123510,0.00122180,0.00122970,52380.84000000,1274,54.0,0.18379629629629635
2018-04-22 02:00:00,0.00122970,0.00126360,0.00122590,0.00125890,222571.89000000,7019,53.0,0.04620811287477954
2018-04-22 03:00:00,0.00126030,0.00128260,0.00125760,0.00126740,283568.53000000,6457,56.0,0.04545454545454545
2018-04-22 04:00:00,0.00126660,0.00128990,0.00126390,0.00128670,200447.71000000,4498,58.0,0.0
2018-04-22 05:00:00,0.00128670,0.00130930,0.00128600,0.00129210,309501.14000000,6801,65.0,0.0
2018-04-22 06:00:00,0.00129220,0.00129730,0.00127600,0.00128350,154425.03000000,4152,66.0,0.0
2018-04-22 07:00:00,0.00128350,0.00131800,0.00128300,0.00131000,581256.36000000,11940,70.0,0.12727272727272726
2018-04-22 08:00:00,0.00130780,0.00132490,0.00129300,0.00132160,312698.99000000,6125,70.0,0.014285714285714287
2018-04-22 09:00:00,0.00132080,0.00132160,0.00130000,0.00130590,213836.75000000,4414,74.0,0.0
2018-04-22 10:00:00,0.00130500,0.00131740,0.00129970,0.00130370,187911.71000000,3402,69.0,0.014652014652014655
