date,open,high,low,close,volume,number of trades,Bitcoin BTC,sentiment
2018-04-23 05:00:00,8857.84000000,8883.00000000,8827.66000000,8879.00000000,707.05508700,5906,71.0,0.10995670995670997
2018-04-23 06:00:00,8878.04000000,8929.00000000,8850.00000000,8899.00000000,1401.91364600,9967,61.0,0.027150793650793637
2018-04-23 07:00:00,8899.00000000,8970.01000000,8895.45000000,8942.39000000,1829.73029100,11390,75.0,0.09006493506493508
2018-04-23 08:00:00,8942.00000000,8957.04000000,8892.98000000,8900.31000000,1344.56676600,11529,64.0,0.13658333333333333
2018-04-23 09:00:00,8903.00000000,8914.57000000,8831.00000000,8905.00000000,1659.15766000,14574,58.0,0.23333333333333334
2018-04-23 10:00:00,8905.00000000,8922.00000000,8874.71000000,8889.00000000,1045.27767100,7315,59.0,0.06433333333333333
2018-04-23 11:00:00,8889.00000000,8923.00000000,8877.75000000,8910.02000000,876.65712400,6361,51.0,0.15720975993703268
2018-04-23 12:00:00,8910.02000000,8985.00000000,8897.75000000,8940.74000000,1676.02335200,10843,53.0,0.13499458874458872
2018-04-23 13:00:00,8940.00000000,8945.00000000,8900.00000000,8929.00000000,889.80989800,7071,57.0,0.09021026592455164
2018-04-23 14:00:00,8934.39000000,8940.00000000,8858.08000000,8919.00000000,1476.37799900,10437,57.0,0.032162698412698414
2018-04-23 15:00:00,8919.00000000,8935.00000000,8888.00000000,8898.00000000,943.09414800,8470,55.0,0.252020202020202
2018-04-23 16:00:00,8898.00000000,8938.21000000,8892.02000000,8911.54000000,997.58879400,7887,61.0,0.14149659863945577
2018-04-23 17:00:00,8912.77000000,8917.58000000,8861.42000000,8886.00000000,986.55403200,7977,55.0,0.18645408163265303
2018-04-23 18:00:00,8887.67000000,8915.00000000,8877.01000000,8893.99000000,711.91925500,5697,60.0,0.032812499999999994
2018-04-23 19:00:00,8894.00000000,8900.00000000,8800.60000000,8847.37000000,1313.30798400,8999,62.0,0.04085978835978837
2018-04-23 20:00:00,8847.37000000,8928.00000000,8825.01000000,8924.11000000,917.13381800,7696,55.0,0.20538194444444444
2018-04-23 21:00:00,8924.11000000,8926.76000000,8903.93000000,8922.00000000,702.44671900,5221,67.0,0.15418871252204586
2018-04-23 22:00:00,8925.80000000,8947.64000000,8909.59000000,8920.02000000,866.25105800,5246,67.0,0.16666666666666666
