date,open,high,low,close,volume,number of trades,BitConnect BCC
2018-05-02 07:00:00,1358.00000000,1360.00000000,1349.00000000,1359.19000000,298.71773000,696,45
2018-05-02 08:00:00,1359.19000000,1361.27000000,1347.00000000,1353.65000000,482.44594000,829,22
2018-05-02 09:00:00,1354.03000000,1449.00000000,1354.03000000,1446.00000000,3059.14109000,5254,41
2018-05-02 10:00:00,1445.00000000,1496.00000000,1440.00000000,1484.00000000,5680.86795000,9683,100
2018-05-02 11:00:00,1484.00000000,1485.67000000,1451.47000000,1463.55000000,2104.08557000,3873,36
2018-05-02 12:00:00,1462.41000000,1470.10000000,1428.85000000,1437.43000000,1975.09263000,3811,33
2018-05-02 13:00:00,1439.60000000,1450.00000000,1425.00000000,1445.00000000,1731.96376000,3162,31
2018-05-02 14:00:00,1444.99000000,1451.99000000,1435.80000000,1442.31000000,654.68616000,1467,45
2018-05-02 15:00:00,1441.50000000,1478.00000000,1438.28000000,1476.30000000,1379.20574000,2621,15
2018-05-02 16:00:00,1476.32000000,1481.33000000,1449.32000000,1458.18000000,1130.63982000,2576,95
2018-05-02 17:00:00,1457.94000000,1461.00000000,1446.93000000,1453.00000000,824.88180000,1672,16
2018-05-02 18:00:00,1454.44000000,1457.00000000,1445.03000000,1449.71000000,342.03962000,943,0
2018-05-02 19:00:00,1452.35000000,1453.91000000,1437.00000000,1446.11000000,454.00086000,1076,67
2018-05-02 20:00:00,1447.99000000,1459.16000000,1436.87000000,1454.55000000,396.63732000,946,0
2018-05-02 21:00:00,1458.73000000,1480.46000000,1454.99000000,1466.03000000,880.99623000,1943,22
2018-05-02 22:00:00,1466.05000000,1468.20000000,1451.96000000,1463.31000000,544.65561000,1141,52
2018-05-02 23:00:00,1463.29000000,1465.88000000,1456.01000000,1460.10000000,502.93144000,926,28
2018-05-03 00:00:00,1460.10000000,1524.50000000,1458.40000000,1510.01000000,2859.16911000,4873,55
2018-05-03 01:00:00,1511.01000000,1540.87000000,1496.79000000,1534.00000000,2033.66983000,3717,26
2018-05-03 02:00:00,1534.56000000,1537.36000000,1515.10000000,1526.63000000,1253.94930000,2305,27
2018-05-03 03:00:00,1528.00000000,1528.79000000,1490.50000000,1502.95000000,1051.32419000,2332,29
2018-05-03 04:00:00,1502.95000000,1517.89000000,1496.00000000,1511.00000000,854.71976000,2122,0
2018-05-03 05:00:00,1512.00000000,1517.00000000,1457.39000000,1475.00000000,1309.34781000,3077,27
2018-05-03 06:00:00,1475.00000000,1481.79000000,1451.00000000,1464.90000000,1195.24739000,2865,25
2018-05-03 07:00:00,1464.90000000,1499.00000000,1450.73000000,1486.91000000,1261.88420000,2485,46
2018-05-03 08:00:00,1488.01000000,1493.29000000,1460.59000000,1479.37000000,724.71353000,1553,44
2018-05-03 09:00:00,1479.14000000,1481.31000000,1461.00000000,1474.90000000,560.40814000,1154,21
2018-05-03 10:00:00,1475.29000000,1490.00000000,1472.58000000,1485.00000000,694.07561000,1102,20
2018-05-03 11:00:00,1485.10000000,1486.94000000,1466.33000000,1472.40000000,473.91387000,970,18
2018-05-03 12:00:00,1472.11000000,1522.00000000,1465.00000000,1513.27000000,1715.75450000,3599,84
2018-05-03 13:00:00,1513.27000000,1528.00000000,1498.03000000,1527.78000000,1668.35477000,2536,16
2018-05-03 14:00:00,1527.78000000,1540.00000000,1502.50000000,1507.00000000,1793.16972000,2841,0
2018-05-03 15:00:00,1507.00000000,1513.05000000,1493.57000000,1504.00000000,706.56557000,1354,16
2018-05-03 16:00:00,1504.10000000,1534.56000000,1504.00000000,1533.14000000,802.04269000,1879,0
2018-05-03 17:00:00,1533.15000000,1536.30000000,1500.00000000,1504.59000000,1568.64090000,3367,32
2018-05-03 18:00:00,1504.59000000,1513.13000000,1466.00000000,1498.98000000,1513.91809000,3270,33
2018-05-03 19:00:00,1497.25000000,1505.00000000,1487.77000000,1495.77000000,626.45660000,1156,35
2018-05-03 20:00:00,1496.98000000,1504.58000000,1490.41000000,1504.58000000,504.56606000,789,58
2018-05-03 21:00:00,1504.58000000,1515.75000000,1497.91000000,1500.40000000,759.41477000,1129,22
2018-05-03 22:00:00,1500.50000000,1510.00000000,1486.03000000,1504.07000000,647.59433000,1220,52
2018-05-03 23:00:00,1504.07000000,1520.00000000,1500.00000000,1512.25000000,873.36135000,1752,56
2018-05-04 00:00:00,1512.25000000,1512.58000000,1466.50000000,1478.88000000,1259.07786000,3350,55
2018-05-04 01:00:00,1479.99000000,1491.90000000,1471.14000000,1475.83000000,633.43558000,1110,0
2018-05-04 02:00:00,1475.83000000,1484.27000000,1472.00000000,1479.35000000,357.52876000,823,28
2018-05-04 03:00:00,1479.25000000,1479.25000000,1461.61000000,1467.14000000,543.96792000,1347,59
2018-05-04 04:00:00,1467.14000000,1480.00000000,1467.14000000,1479.00000000,273.95884000,704,30
2018-05-04 05:00:00,1477.67000000,1485.00000000,1470.00000000,1475.98000000,249.35120000,738,28
2018-05-04 06:00:00,1475.98000000,1501.00000000,1472.57000000,1489.89000000,367.97899000,1123,75
2018-05-04 07:00:00,1492.07000000,1500.90000000,1477.83000000,1488.00000000,832.16843000,1274,23
2018-05-04 08:00:00,1486.10000000,1519.90000000,1481.71000000,1517.27000000,963.52690000,2181,23
2018-05-04 09:00:00,1517.25000000,1519.00000000,1492.96000000,1495.50000000,847.97293000,1472,22
2018-05-04 10:00:00,1498.53000000,1499.06000000,1481.10000000,1494.00000000,527.70702000,1147,21
2018-05-04 11:00:00,1495.55000000,1524.11000000,1475.97000000,1515.55000000,1275.32249000,2313,38
2018-05-04 12:00:00,1517.00000000,1544.39000000,1512.15000000,1518.15000000,1696.92624000,2782,18
2018-05-04 13:00:00,1520.29000000,1531.66000000,1496.50000000,1505.32000000,843.61801000,1717,16
2018-05-04 14:00:00,1505.37000000,1513.93000000,1500.01000000,1510.75000000,420.40587000,861,32
2018-05-04 15:00:00,1512.84000000,1515.50000000,1483.00000000,1488.07000000,704.18110000,1307,0
2018-05-04 16:00:00,1488.07000000,1506.00000000,1480.00000000,1503.04000000,342.43742000,1000,17
2018-05-04 17:00:00,1503.04000000,1509.54000000,1495.85000000,1502.89000000,163.15148000,604,0
2018-05-04 18:00:00,1502.89000000,1514.81000000,1499.25000000,1512.90000000,127.60960000,495,53
2018-05-04 19:00:00,1514.81000000,1519.99000000,1505.00000000,1516.00000000,155.17333000,562,0
2018-05-04 20:00:00,1516.97000000,1525.00000000,1514.54000000,1517.99000000,419.60513000,752,21
2018-05-04 21:00:00,1518.00000000,1530.00000000,1510.92000000,1522.71000000,615.39438000,927,0
2018-05-04 22:00:00,1523.00000000,1529.69000000,1518.61000000,1529.30000000,222.62393000,540,27
2018-05-04 23:00:00,1529.30000000,1534.90000000,1514.00000000,1518.84000000,208.14292000,629,30
2018-05-05 00:00:00,1518.84000000,1528.29000000,1508.40000000,1524.90000000,357.97247000,910,90
