date,open,high,low,close,volume,number of trades,Enigma ENG,sentiment
2018-05-02 15:00:00,0.00029799,0.00030139,0.00029710,0.00030058,48628.00000000,453,73.0,0.0
2018-05-02 16:00:00,0.00030058,0.00031165,0.00029986,0.00030822,279775.00000000,3252,25.0,0.0
2018-05-02 17:00:00,0.00030822,0.00031200,0.00030751,0.00031132,135976.00000000,855,39.0,0.0
2018-05-02 18:00:00,0.00030982,0.00031328,0.00030952,0.00031125,82369.00000000,748,26.0,0.0
2018-05-02 19:00:00,0.00031126,0.00031223,0.00030751,0.00030840,94696.00000000,546,80.0,0.0
2018-05-02 20:00:00,0.00030927,0.00031055,0.00030810,0.00031055,50455.00000000,291,0.0,0.0
2018-05-02 21:00:00,0.00031055,0.00031300,0.00030660,0.00030981,88255.00000000,706,53.0,0.0
2018-05-02 22:00:00,0.00030981,0.00031117,0.00030500,0.00030702,87477.00000000,852,41.0,0.0
2018-05-02 23:00:00,0.00030730,0.00030871,0.00030420,0.00030701,35014.00000000,526,44.0,0.0
2018-05-03 00:00:00,0.00030701,0.00030862,0.00030420,0.00030861,48056.00000000,326,0.0,0.0
2018-05-03 01:00:00,0.00030830,0.00030830,0.00030599,0.00030657,138865.00000000,313,0.0,0.0
2018-05-03 02:00:00,0.00030672,0.00030861,0.00030657,0.00030841,102977.00000000,307,22.0,0.0
2018-05-03 03:00:00,0.00030858,0.00031688,0.00030693,0.00031677,145089.00000000,1804,46.0,0.0
2018-05-03 04:00:00,0.00031688,0.00031800,0.00031185,0.00031518,128245.00000000,1585,0.0,0.0
2018-05-03 05:00:00,0.00031518,0.00031899,0.00031301,0.00031876,169317.00000000,1436,86.0,0.0
2018-05-03 06:00:00,0.00031875,0.00032326,0.00031769,0.00032047,197982.00000000,1795,58.0,0.0
2018-05-03 07:00:00,0.00032035,0.00032185,0.00031900,0.00032183,70346.00000000,841,36.0,0.0
2018-05-03 08:00:00,0.00032099,0.00032284,0.00031549,0.00031784,134250.00000000,1012,17.0,0.0
2018-05-03 09:00:00,0.00031758,0.00031890,0.00031279,0.00031538,98180.00000000,967,51.0,0.0
2018-05-03 10:00:00,0.00031457,0.00031802,0.00031302,0.00031782,116484.00000000,589,32.0,0.0
2018-05-03 11:00:00,0.00031782,0.00031818,0.00031446,0.00031585,71121.00000000,579,29.0,0.0
2018-05-03 12:00:00,0.00031587,0.00032345,0.00031455,0.00032149,139982.00000000,1586,27.0,0.0
2018-05-03 13:00:00,0.00032120,0.00032650,0.00031911,0.00032538,149416.00000000,1294,12.0,0.0
2018-05-03 14:00:00,0.00032501,0.00032617,0.00031546,0.00031684,119052.00000000,1343,24.0,0.0
2018-05-03 15:00:00,0.00031604,0.00031690,0.00030937,0.00031380,103591.00000000,1265,12.0,0.0
2018-05-03 16:00:00,0.00031379,0.00031926,0.00031123,0.00031900,93044.00000000,1042,13.0,0.0
2018-05-03 17:00:00,0.00031900,0.00032107,0.00031100,0.00031405,123970.00000000,1421,26.0,0.0
2018-05-03 18:00:00,0.00031483,0.00031601,0.00030130,0.00030278,145456.00000000,1534,27.0,0.0
2018-05-03 19:00:00,0.00030278,0.00030279,0.00030077,0.00030210,110928.00000000,977,14.0,0.0
2018-05-03 20:00:00,0.00030117,0.00030322,0.00029770,0.00030000,73893.00000000,878,46.0,0.0
2018-05-03 21:00:00,0.00029999,0.00030175,0.00029873,0.00030020,100240.00000000,503,18.0,0.0
2018-05-03 22:00:00,0.00030040,0.00030566,0.00030028,0.00030565,140354.00000000,769,42.0,0.0
2018-05-03 23:00:00,0.00030565,0.00030804,0.00030300,0.00030613,135859.00000000,756,22.0,0.0
2018-05-04 00:00:00,0.00030677,0.00030682,0.00030010,0.00030371,111741.00000000,751,88.0,0.0
2018-05-04 01:00:00,0.00030371,0.00030682,0.00030268,0.00030459,122172.00000000,363,21.0,0.0
2018-05-04 02:00:00,0.00030430,0.00030696,0.00030136,0.00030406,66680.00000000,361,22.0,0.0
2018-05-04 03:00:00,0.00030276,0.00030391,0.00030010,0.00030092,43671.00000000,216,23.0,0.0
2018-05-04 04:00:00,0.00030218,0.00030362,0.00030010,0.00030155,45887.00000000,325,24.0,0.0
2018-05-04 05:00:00,0.00030191,0.00030691,0.00030155,0.00030617,58964.00000000,391,0.0,0.0
2018-05-04 06:00:00,0.00030617,0.00031000,0.00030189,0.00030313,102213.00000000,726,79.0,0.0
2018-05-04 07:00:00,0.00030314,0.00030496,0.00030309,0.00030485,60889.00000000,340,56.0,0.0
2018-05-04 08:00:00,0.00030487,0.00030555,0.00030038,0.00030130,58941.00000000,508,0.0,0.0
2018-05-04 09:00:00,0.00030130,0.00030300,0.00030010,0.00030034,92291.00000000,480,17.0,0.0
2018-05-04 10:00:00,0.00030035,0.00030376,0.00029888,0.00029989,47425.00000000,387,0.0,0.0
2018-05-04 11:00:00,0.00029987,0.00029987,0.00029250,0.00029358,73385.00000000,875,45.0,0.0
2018-05-04 12:00:00,0.00029358,0.00029906,0.00029130,0.00029906,73480.00000000,812,28.0,0.0
2018-05-04 13:00:00,0.00029850,0.00030501,0.00029424,0.00030010,67572.00000000,675,0.0,0.0
2018-05-04 14:00:00,0.00030011,0.00030425,0.00029722,0.00029819,32093.00000000,436,13.0,0.0
2018-05-04 15:00:00,0.00029820,0.00030738,0.00029412,0.00030088,66631.00000000,870,0.0,0.0
2018-05-04 16:00:00,0.00029999,0.00030352,0.00029911,0.00030310,112477.00000000,447,13.0,0.0
2018-05-04 17:00:00,0.00030314,0.00030907,0.00030228,0.00030559,167816.00000000,756,0.0,0.0
2018-05-04 18:00:00,0.00030563,0.00030763,0.00030320,0.00030647,82727.00000000,481,14.0,0.0
2018-05-04 19:00:00,0.00030761,0.00031152,0.00030341,0.00030400,99349.00000000,778,15.0,0.0
2018-05-04 20:00:00,0.00030400,0.00030779,0.00030300,0.00030615,32463.00000000,335,0.0,0.0
2018-05-04 21:00:00,0.00030655,0.00030709,0.00030169,0.00030202,62079.00000000,603,0.0,0.0
2018-05-04 22:00:00,0.00030196,0.00030312,0.00029912,0.00030312,48440.00000000,508,0.0,0.0
2018-05-04 23:00:00,0.00030307,0.00030307,0.00029912,0.00030280,20817.00000000,292,47.0,0.0
2018-05-05 00:00:00,0.00030166,0.00030433,0.00030112,0.00030194,46744.00000000,351,0.0,0.0
2018-05-05 01:00:00,0.00030192,0.00030221,0.00029933,0.00030154,144672.00000000,262,0.0,0.0
2018-05-05 02:00:00,0.00030153,0.00030464,0.00029912,0.00030460,50091.00000000,480,24.0,0.0
2018-05-05 03:00:00,0.00030371,0.00030486,0.00030292,0.00030450,25533.00000000,404,0.0,0.0
2018-05-05 04:00:00,0.00030450,0.00030450,0.00030018,0.00030445,37269.00000000,398,0.0,0.0
2018-05-05 05:00:00,0.00030378,0.00030600,0.00030285,0.00030430,40956.00000000,459,0.0,0.0
2018-05-05 06:00:00,0.00030433,0.00030496,0.00030099,0.00030120,57621.00000000,344,0.0,0.0
2018-05-05 07:00:00,0.00030120,0.00030335,0.00030069,0.00030283,108954.00000000,365,42.0,0.0
2018-05-05 08:00:00,0.00030333,0.00030678,0.00030279,0.00030678,91007.00000000,616,0.0,0.0
2018-05-05 09:00:00,0.00030679,0.00031099,0.00030543,0.00030850,124906.00000000,1239,20.0,0.0
2018-05-05 10:00:00,0.00030851,0.00030954,0.00030300,0.00030362,97866.00000000,627,19.0,0.0
2018-05-05 11:00:00,0.00030344,0.00030360,0.00029912,0.00030059,117437.00000000,588,53.0,0.0
2018-05-05 12:00:00,0.00030003,0.00030248,0.00029792,0.00030185,88421.00000000,457,17.0,0.0
2018-05-05 13:00:00,0.00030105,0.00030292,0.00029511,0.00029724,91189.00000000,536,16.0,0.0
2018-05-05 14:00:00,0.00029723,0.00029724,0.00029401,0.00029536,66853.00000000,502,0.0,0.0
2018-05-05 15:00:00,0.00029536,0.00029658,0.00029350,0.00029571,110291.00000000,487,15.0,0.0
2018-05-05 16:00:00,0.00029571,0.00029958,0.00029352,0.00029430,109028.00000000,440,15.0,0.0
2018-05-05 17:00:00,0.00029444,0.00029602,0.00029350,0.00029434,124784.00000000,375,31.0,0.0
2018-05-05 18:00:00,0.00029408,0.00029436,0.00027400,0.00028940,327120.00000000,2513,32.0,0.0
2018-05-05 19:00:00,0.00028940,0.00028944,0.00028666,0.00028707,109802.00000000,416,33.0,0.0
2018-05-05 20:00:00,0.00028707,0.00029127,0.00028633,0.00028900,54282.00000000,519,18.0,0.0
2018-05-05 21:00:00,0.00028901,0.00029247,0.00028800,0.00029029,109112.00000000,539,20.0,0.0
2018-05-05 22:00:00,0.00029033,0.00029272,0.00028867,0.00028996,85722.00000000,393,0.0,0.0
2018-05-05 23:00:00,0.00028996,0.00029066,0.00028801,0.00028895,28297.00000000,209,0.0,0.0
2018-05-06 00:00:00,0.00028940,0.00029139,0.00028450,0.00028673,47979.00000000,379,25.0,0.0
2018-05-06 00:00:00,0.00028940,0.00029139,0.00028450,0.00028673,47979.00000000,379,31.0,0.0
2018-05-06 01:00:00,0.00028680,0.00028694,0.00028000,0.00028195,57120.00000000,770,30.0,0.0
2018-05-06 02:00:00,0.00028190,0.00028300,0.00027701,0.00027701,96932.00000000,718,30.0,0.0
2018-05-06 03:00:00,0.00027829,0.00028189,0.00027675,0.00028039,43351.00000000,473,31.0,0.0
2018-05-06 04:00:00,0.00028040,0.00028040,0.00027573,0.00027646,76856.00000000,551,32.0,0.0
2018-05-06 05:00:00,0.00027579,0.00027903,0.00027275,0.00027402,100366.00000000,658,0.0,0.0
2018-05-06 06:00:00,0.00027402,0.00027402,0.00026950,0.00027192,134895.00000000,841,29.0,0.0
2018-05-06 07:00:00,0.00027194,0.00027483,0.00027005,0.00027306,93441.00000000,450,27.0,0.0
2018-05-06 08:00:00,0.00027306,0.00027410,0.00027151,0.00027319,91933.00000000,305,26.0,0.0
2018-05-06 09:00:00,0.00027319,0.00027319,0.00027081,0.00027310,134304.00000000,320,50.0,0.0
2018-05-06 10:00:00,0.00027309,0.00028131,0.00027296,0.00027900,103040.00000000,732,24.0,0.0
2018-05-06 11:00:00,0.00027799,0.00027992,0.00027606,0.00027986,40821.00000000,349,0.0,0.0
2018-05-06 12:00:00,0.00027967,0.00027983,0.00027430,0.00027430,46174.00000000,368,0.0,0.0
2018-05-06 13:00:00,0.00027430,0.00027896,0.00027319,0.00027629,44895.00000000,493,19.0,0.0
2018-05-06 14:00:00,0.00027629,0.00027703,0.00027125,0.00027182,92780.00000000,526,55.0,0.0
2018-05-06 15:00:00,0.00027181,0.00027260,0.00026969,0.00027244,84168.00000000,673,0.0,0.0
