date,open,high,low,close,volume,number of trades,Ethereum ETH
2018-05-19 22:00:00,689.28000000,697.47000000,684.00000000,691.58000000,4658.31671000,5031,76
2018-05-19 23:00:00,691.93000000,698.86000000,689.00000000,697.00000000,3073.26324000,3623,61
2018-05-20 00:00:00,697.00000000,698.00000000,688.40000000,690.99000000,3057.00279000,4239,53
2018-05-20 00:00:00,697.00000000,698.00000000,688.40000000,690.99000000,3057.00279000,4239,49
2018-05-20 01:00:00,690.62000000,697.00000000,689.00000000,695.78000000,3607.08948000,4316,47
2018-05-20 02:00:00,695.79000000,708.00000000,695.05000000,708.00000000,3219.19532000,5031,28
2018-05-20 03:00:00,707.99000000,708.56000000,701.00000000,701.92000000,4315.26791000,4442,44
2018-05-20 04:00:00,701.88000000,706.46000000,701.13000000,705.35000000,3879.55296000,3507,43
2018-05-20 05:00:00,705.36000000,707.00000000,703.70000000,705.21000000,2080.13368000,2531,38
2018-05-20 06:00:00,705.21000000,706.80000000,704.31000000,705.51000000,1191.59716000,2248,44
2018-05-20 07:00:00,705.50000000,709.77000000,703.70000000,707.59000000,2203.72611000,3429,45
2018-05-20 08:00:00,707.58000000,712.75000000,703.70000000,710.93000000,3437.79907000,4193,39
2018-05-20 09:00:00,711.29000000,714.41000000,707.00000000,714.41000000,4009.61585000,4452,54
2018-05-20 10:00:00,714.41000000,718.20000000,712.89000000,714.05000000,5614.23722000,5289,64
2018-05-20 11:00:00,713.30000000,714.92000000,710.00000000,712.50000000,3681.10022000,3543,46
2018-05-20 12:00:00,713.13000000,715.98000000,706.99000000,707.80000000,3956.27410000,3639,65
2018-05-20 13:00:00,707.80000000,711.59000000,706.98000000,709.01000000,2741.98706000,2665,60
2018-05-20 14:00:00,709.01000000,711.88000000,708.05000000,710.86000000,3964.57009000,2530,71
2018-05-20 15:00:00,711.00000000,714.58000000,710.17000000,714.35000000,3198.43980000,2819,56
2018-05-20 16:00:00,714.34000000,722.32000000,714.02000000,719.46000000,8130.67652000,7347,58
2018-05-20 17:00:00,719.46000000,729.88000000,717.39000000,721.20000000,5771.13269000,5467,45
2018-05-20 18:00:00,721.20000000,725.01000000,720.80000000,723.04000000,3263.65018000,3874,64
2018-05-20 19:00:00,723.03000000,724.51000000,716.06000000,720.48000000,3267.53572000,3868,54
2018-05-20 20:00:00,720.48000000,724.38000000,718.98000000,720.15000000,3417.68971000,3164,59
2018-05-20 21:00:00,720.03000000,722.92000000,719.30000000,719.76000000,2252.52897000,2503,69
2018-05-20 22:00:00,719.76000000,721.51000000,710.00000000,713.36000000,3874.58845000,4182,59
2018-05-20 23:00:00,713.89000000,717.39000000,713.36000000,716.16000000,1869.34984000,2407,60
2018-05-21 00:00:00,716.16000000,719.14000000,711.02000000,714.00000000,2602.22310000,2951,43
2018-05-21 01:00:00,713.24000000,713.98000000,704.39000000,706.37000000,3217.96594000,3888,52
2018-05-21 02:00:00,706.98000000,715.00000000,706.38000000,712.94000000,4406.11262000,3468,58
2018-05-21 03:00:00,712.47000000,716.00000000,710.40000000,712.72000000,5021.94336000,3328,64
2018-05-21 04:00:00,712.05000000,718.04000000,711.50000000,715.81000000,3860.47828000,3432,60
2018-05-21 05:00:00,715.82000000,717.10000000,714.55000000,715.36000000,3028.81853000,2568,59
2018-05-21 06:00:00,715.74000000,719.88000000,712.93000000,718.14000000,3743.44427000,4323,65
2018-05-21 07:00:00,718.14000000,720.46000000,715.16000000,717.36000000,4971.31232000,3686,60
2018-05-21 08:00:00,717.36000000,718.14000000,714.22000000,718.03000000,3352.10341000,3620,49
2018-05-21 09:00:00,718.20000000,718.44000000,711.37000000,712.65000000,4035.88773000,3689,59
2018-05-21 10:00:00,711.98000000,712.98000000,705.19000000,707.01000000,5171.97043000,5448,62
2018-05-21 11:00:00,707.25000000,712.17000000,705.00000000,709.52000000,3614.13436000,4072,55
2018-05-21 12:00:00,709.52000000,711.50000000,706.49000000,708.52000000,3625.09143000,3431,45
2018-05-21 13:00:00,708.52000000,708.81000000,705.05000000,707.54000000,3355.84678000,2774,41
2018-05-21 14:00:00,707.72000000,707.73000000,695.51000000,698.82000000,8051.79021000,8172,60
2018-05-21 15:00:00,698.82000000,701.02000000,695.25000000,701.00000000,5365.22032000,4278,55
2018-05-21 16:00:00,701.00000000,701.00000000,693.22000000,696.93000000,5539.05940000,3974,37
2018-05-21 17:00:00,696.70000000,697.52000000,693.50000000,693.78000000,2837.07208000,2618,33
2018-05-21 18:00:00,694.39000000,694.39000000,688.00000000,688.90000000,5715.01374000,5196,54
2018-05-21 19:00:00,688.99000000,696.85000000,688.32000000,695.81000000,3392.31607000,3684,47
2018-05-21 20:00:00,695.08000000,700.67000000,693.08000000,698.51000000,2464.98467000,3052,70
2018-05-21 21:00:00,698.52000000,699.78000000,694.00000000,695.50000000,3911.40040000,2654,42
2018-05-21 22:00:00,695.78000000,698.30000000,693.76000000,698.29000000,2894.21662000,2578,56
2018-05-21 23:00:00,698.28000000,701.09000000,695.54000000,696.70000000,1906.74844000,2554,57
2018-05-22 00:00:00,697.10000000,699.60000000,692.95000000,694.45000000,2206.68271000,2755,42
2018-05-22 01:00:00,694.45000000,694.96000000,682.20000000,686.83000000,5563.18374000,6274,70
2018-05-22 02:00:00,686.83000000,691.23000000,685.00000000,687.51000000,3141.07486000,3038,39
2018-05-22 03:00:00,688.46000000,689.62000000,683.11000000,688.56000000,4497.97111000,3366,54
2018-05-22 04:00:00,688.76000000,689.00000000,684.15000000,687.39000000,2570.49603000,2534,37
2018-05-22 05:00:00,687.90000000,690.76000000,686.82000000,688.72000000,2683.41426000,2742,69
